Simplifier,Pinyin,Catégorie Grammaticale,Traduction,Traditionnel
牌,pai2,nom,pancarte ; marque ; carte,牌 
名牌,ming2pai2,nom ," grande marque,de renom ",名牌 
牌子,pai2zi,nom,marque,牌子 
打牌,da3pai2,verbe,jouer aux cartes,打牌 
贪,tan1,verbe ," convoiter,aspirer à,être avide de ",貪 
贪心,tan1xin1,nom ," cupidité,avide ",貪心 
贪吃,tan1chi1,verbe,ne pensez qu'à manger,貪吃 
贪玩,tan1wan2,verbe,ne penser qu'à jouer,貪玩 
贪睡,tan1shui4,verbe,ne penser qu'à dormir,貪睡 
贪污,tan1wu1,nom,corruption,貪污 
贪官,tan1guan1,nom,fonctionnaire corrompu,貪官 
罚,fa2,verbe ," punir,châtier,sanctionner ",罰 
罚款,fa2kuan3,verbe ; nom,condamner à une amende ; une amande,罰款 
处罚,chu3fa2,verbe ," punir,châtier,sanctionner ",處罰 
惩罚,cheng2fa2,verbe,punir,懲罰 
挨,ai2,verbe ," subir,endurer ",挨 
挨打,ai2da3,verbe,être battu,挨打 
挨骂,ai2ma4,verbe,être injurié,挨罵 
挨饿,ai2e4,verbe,endurer la faim,挨饿 
尺,chi3,nom ; unité de mesure ," règle,échelle ; un tiers de mètre ",尺 
尺子,chi3zi,nom ," règle,échelle ",尺子 
泪,lei4,nom,larme,淚 
抄,chao1,verbe ," copier,transcrire ; plagier ; prendre un raccourci ",抄 
抄写,chao1xie3,verbe,copier,抄寫 
抄近路,chao1jin4lu4,verbe,prendre un raccourci,抄近路 
伤,shang1,nom ; verbe,blessure ; blesser ; être triste,傷 
伤害,shang1hai4,verbe ," blesser,nuire à ",傷害 
受//伤,shou4//shang1,verbe,être blessé,受//傷 
伤心,shang1xin1,adjectif ,"  malheureux,affligé ",傷心 
尊,zun1,verbe ; adjectif,respecter ; vénérable,尊 
尊重,zun1zhong4,verbe,respecter,尊重 
自尊心,zi4zun1xin1,nom,amour-propre,自尊心 
尊贵,zun1gui4,adjectif ," distingué,respectable ",尊贵 
格,ge2,nom ," case ; norme,modèle ; caractère ",格 
格子,ge2zi,nom,case,格子 
性格,xing4ge2,nom,caractère,性格 
严格,yan2ge2,adjectif,strict,嚴格 
拒,ju4,verbe,refuser,拒 
拒绝,ju4jue2,verbe ," couper,interrompre ; hors pair,sans pareil ; absolument ",拒絕 
拒之门外,ju4zhi1men2wai4,expression,fermer la porte au nez de qqn,拒之門外 
绝//交,jue2//jiao1,verbe,cesser toute relation avec qqn,絕//交 
绝招儿,jue2zhao1r,nom,habilité hors pair,絕招兒 
绝不,jue2bu4,adverbe ," absolument pas,aucunement ",絕不 
绝对,jue2dui4,adverbe ," absolument,tout à fait ",絕對 
闲,xian2,adjectif ; nom ," oisif,inoccupé ; libre,disponible ; négligeable,secondaire ",閒/閑 
闲聊,xian2liao2,verbe,parler de choses et d'autres,閒聊/閑聊 
空闲,kong1xian2,nom,temps libre,空閒/空閑 
休闲,xiu1xian2,nom,loisir,休閒/休閑 
闲话,xian2hua4,nom ," bavardage,commérage ",閒話/閑話 
乖,guai1,adjectif,sage,乖 
乖孩子,guai1hai2zi,nom,enfant sage,乖孩子 
趁,chen2,verbe,profiter de,趁 
趁机,chen2ji1,verbe,profiter de l'occasion,趁機 
悄悄,qiao1qiao1,adverbe ," furtivement,silencieusement ",悄悄 
悄悄话,qiao1qiao1hua4,nom,confidences,悄悄話 
怨,yuan4,verbe ; nom ," blâmer,se plaindre de ; rancune,rancoeur ",怨 
抱怨,bao4yuan,verbe,se plaindre,抱怨 
怨言,yuan4yan2,nom ," plainte,doléances ",怨言 
补,bu3,verbe ," racommoder,rapiécer ; compléter ; tonifier,fortifier ",補 
补习,bu3xi2,verbe,prendre des cours de rattrapage,補習 
补衣服,bu3yi1fu,groupe verbal,racommoder un vêtement,補衣服 
补身体,bu3shen1ti3,groupe verbal,fortifier la santé,不身體 
补充,bu3chong1,verbe ," compléter,ajouter ",補充 
输,shu1,verbe,transporter ; perdre,輸 
动输,dong4shu1,verbe ; nom ," transporter,transport ",动輸 
输牌,shu1pai2,groupe verbal,perdre à un jeu de cartes,輸牌 
尽,jin3,préposition,le plus possible,盡 
尽量,jin3liang4,adverbe,autant que possible,盡量 
尽早,jin3zao3,adverbe,le plus tôt possible,盡早 
尽快,jin3kuai4,adverbe,le plus rapidement possible,盡快 
琴,qin2,nom,instrument de musique,琴 
小提琴,xiao3ti2qin2,nom,violon,小提琴 
钢琴,gang1qin2,nom,piano,鋼琴 
古琴,gu3qin2,nom,instrument à 7 cordes,古琴 
落,luo4,verbe,tomber ; baisser ; perdre,落 
落后,luo4hou4,verbe,être en retard,落後 
失落,shi1luo4,adjectif,déçu,失落 
逼,bi1,verbe ," forcer,pousser ; presser ; exiger ",逼 
逼婚,bi1hun1,verbe,contraindre à un mariage,逼婚 
逼问,bi1wen2,verbe,presser qqn de questions,逼問 
逼迫,bi1po2,verbe,forcer qqn à faire qqch,逼迫 
器,qi4,nom ," machine ; ustensile,appareil ",器 
机器,ji1qi4,nom,machine,機器 
器具,qi4ju4,nom ," ustensile,appareil ",器具 
家用电器,jia1yong1dian4qi4,nom,appareils ménagers,家用電器 
偷,tou1,verbe ; adverbe,voler ; en cachette,偷 
小偷,xiao3tou1,nom,voleur,小偷 
偷看,tou1kan4,verbe,regarder en cachette,偷看 
偷听,tou1ting1,verbe,écouter en cachette,偷聽 
顺,shun4,verbe ; adjectif ," suivre ; longer ; en passant ; propice,favorable ; se conformer à ",順 
一路顺风,yi1lu4shun4feng1,expression,bon voyage,一路順風 
顺其自然,shun4qi2zi4ran2,expression,suivre sa nature,順其自然 
顺便,shun4bian4,adverbe,en passaent,順便 
顺利,shun4li4,adjectif,sans encombre,順利 
顺从,shun4cong2,verbe,se conformer à,順從 
悔,hui3,verbe ," regretter,se repentir ",悔 
后悔,hou4hui3,verbe,regretter,後悔 
悔改,hui3gai3,verbe ," se repentir,se corriger ",悔改 
童,tong2,nom,enfant,童 
童年,tong2nian2,nom,enfance,童年 
儿童,er2tong2,nom,enfant,兒童 
童裝,tong2zhuang1,nom,vêtement pour enfant,童裝 
童话,tong2hua4,nom,conte pour enfant,童話 
良,liang2,nom ; qualificatif ," bon,excellent ",良 
良好,liang2hao3,qualificatif,bon,良好 
良心,liang2xin1,nom,conscience,良心 
优良,you1liang2,qualificatif ," bon,excellent ",優良 
怜,lian2,verbe ," compatir à,avoir pitié de ",憐 
可怜,ke3lian2,adjectif,pitoyable,可憐 
减,jian3,verbe ," soustraire,diminuer ",減 
减少,jian3shao3,verbe,diminuer,減少 
减轻,jian3qing1,verbe,alléger,減輕 
减//价,jian3//jia4,verbe,baisser le prix,減//價 
升,sheng1,verbe ," s'élever,monter ",昇 
上升,shang4sheng1,verbe ," s'élever,monter ",上昇 
升学,sheng1xue2,verbe ,passer dans la classe supérieur,升學 
率,lü4,nom,taux,率 
升学率,sheng1xue2lü4,nom,taux de passage dans la classe supérieure,升学率 
出生率,chu1sheng1lü4,nom,taux de natalité,出生率 
离婚率,li4hun1lü4,nom,taux de divorce,離婚率 
失业率,shi1ye4lü4,nom,taux de chômage,失業率 
制,zhi4,verbe ; nom ," fabriquer,confectionner ; système,régime ",製 
制造,zhi4zao4,verbe,fabriquer,製造 
中国制造,zhong1guo2zhi2zao4,groupe verbal,fait en Chine,中国製造 
制度,zhi4du3,nom,système,隻度 
奖,jiang3,verbe ; nom ," encourager,récompenser ; récompense,prix ",獎 
奖励,jiang3li4,verbe ," encourager,récompenser ",獎勵 
得奖,dejiang3,verbe,obtenir une récompense,得獎 
中奖,zhong1jiang3,verbe,gagner un lot,中獎 
奖金,jiang3jin4,nom ," prime,récompense ",獎金 
奖杯,jiang3bei4,nom,coupe,獎杯 
奖牌,jiang3pai2,nom,médaille,獎牌 
奖学金,jiang3xue2jin1,nom,bourse d'études,獎學金 
过奖,guo4jiang3,verbe,faire un éloge excessif,過獎 
盼,pan4,verbe ," espérer,regarder ",盼 
盼望,pan4wang4,verbe,espérer,盼望 
惜,xi1,verbe ," accorder de l'importance ; être avare de,être attaché à ",惜 
可惜,ke3xi1,adjectif ; adverbe,dommage,可惜 
不惜一切,bu4xi1yi1qie4,expression,ne pas hésiter à faire qqch.,不惜一切 
超,chao1,verbe ; affixe ," dépasser,excéder ; sur-,super-,ultra- ",超 
超过,chao1guo4,verbe,dépasser,超過 
超市,chao1shi4,nom,supermarché,超市 
基,ji1,nom ," base,fondement,fondation ; fondamental ",基 
基本,ji1ben3,nom ; adjectif ," base,fondement ; fondamental ; en gros ",基本 
础,chu3,nom,socle,础 
基础,ji1chu3,nom,base,基础 
望子成龙,wang4zi3 cheng2long2,expression,espérer que son fils deviendra un grand homme,望子成龙 
睡//懒觉,shui4//lan3jiao4,verbe,faire la grasse matinée,睡//懶覺 
成功,cheng2gong1,verbe ," réussir,réussi ",成功 
榜樣,bang3yang4,nom ," modèle,exemple ",榜樣 
请教,qing3jiao4,verbe,consulter qqn,請教 
自信心,zi4xin4xini1,nom,confiance en soi,自信心 
勉强,mian3qiang3,verbe ; adverbe ," (se) forcer à,tant bien que mal ",勉強 
翻//身,fan1//shen1,verbe,refuser,翻//身 
內向,nei4xiang4,adjectif,introverti,內向 
一言不发,yi4yan2-bu4fa1,expression,ne rien dire,一言不發 
死记硬背,si3ji4 ying4bei4,expression,apprendre par coeur sans chercher à comprendre,死記硬背 
抄 ,chao1,verbe,recopier,抄 
起跑线,qi3pao3xian4,nom,ligne de départ,起跑線 
物质,wu4shi4,nom ," matière,matériel ",物資 
本地,ben3di4,nom ," local,de l'endroit ",本地 
劝,quan4,verbe,conseiller,劝 
保持,bao3chi2,verbe,conserver,保持 
本事,ben3shi,nom ," capacité,aptitude ",本事 
反感,fan3gan1,nom ," aversion,dégoût,antipathique ",反感 
乐器,yue4qi4,nom,instrument de musique,樂器 
费//劲,fei4//jin4,verbe ," exiger de l'effort,difficile ",費//勁 
职位,zhi2wei4,nom ," poste,emploi ",職位 
无论...都/也...,wu2lun4...dou1/ye3...,conjonction,quel que soit...,無論...都/也... 
说服,shuo1fu2,verbe,persuader,說服 
增长,zeng1zhang3,verbe,se disputer,增長 
有所不同,you3suo3bu3tong2,verbe,être différent,有所不同 
养成,yang3cheng2,verbe ," cultiver,développer ",養成 
正确,zheng4que4,qualificatif,correct,正確 
能夠,neng2gou4,verbe,pouvoir,能夠 
可怜天下父母心,ke3lian2 tian1xia4 fu4mu3 xin1,expression,les parents se donnent beaucoup de mal pour leurs enfants,可憐天下父母心 
时代,shi2dai4,nom,époque,時代 
学业,xue2ye4,nom,études,學業 
关注,guan1zhu4,verbe,prêter attention à,關注 
重点,zhong4dian3,nom,point important,重點 
家长,jia1zhang3,nom,parents,家長 
望女成凤,wang4nü3-cheng2feng4,expression,espérer que sa fille deviendra une grande dame,望女成鳳 
有所成就,you3suo3cheng2jiu4,expression,connaître quelques succès,有所成就 
跟着,gen1zhe,verbe ; adverbe ," suivre,à la suite ",跟著 
产生,chan3sheng1,verbe ," produire,engendrer ",產生 
吃//惊,chi1//jing1,verbe,être étonné,吃//驚 
天才,tian1cai2,nom,génie,天才 
型,xing2,nom ," modèle,type ",型 
大型,da4xing2,adjectif ," grand,d'envergure ",大型 
恨,hen4,verbe ," haïr,detester ; regretter ",恨 
恨不得,hen4bude,verbe,bruler d'envie de faire qqch.,恨不得 
辈,bei4,nom,génération ; vie,輩 
前辈,qian2bei4,nom,ainé,前輩 
晚辈,wan3bei4,nom,jeune,晚輩 
一辈子,yi1bei4zi,expression,toute la vie,一輩子 
待,dai4,verbe,accueillir ; atteindre,待 
接待,jie1dai4,verbe ," recevoir,accueillir ",接待 
招待,zhao1dai4,verbe ," recevoir,convier ",招待 
等待,deng3dai4,verbe,attendre,等待 
限,xian4,nom ; verbe,limite ; limiter,限 
限制,xian4zhi4,verbe ; nom ," limiter,limite ",限制 
限时,xian4shi2,verbe,limiter la durée,限时 
限期,xian4qi1,verbe ," fixer un délai,délai ",限期 
限速,xian4su4,verbe ," limiter la vitesse,vitesse limite ",限速 
有限,you3xian4,adjectif,limité,有限 
无限,wu2xian4,adjectif,illimité,無限
避,bi4,verbe ," éviter,esquiver,se dérober à ",避 
避开,bi4kai1,verbe,éviter,避开 
回避,hui2bi4,verbe ," éviter,se dérober à ",回避 
避雨,bi4yu3,verbe,s'abriter de la pluie,避雨 
避免,bi4mian3,verbe ," éviter,parer à ",避免 
穷,qiong2,adjectif ," pauvre ; fin,limité ",窮 
穷人,qiong2ren2,nom,pauvre,窮人 
穷困,qiong2kun4,nom ," pauvreté,misère ",窮困 
无穷,qwu2iong2,adjectif ," infini,inépuisable ",無窮 
否,fou3,verbe ," nier,是不是 ",否 
否定,fou3ding4,verbe,nier,否定 
否认,fou3ren4,verbe,dénier,否认 
是否,shi4fou3,adverbe,oui ou non,是否 
则,ze2,nom ; conjonction ," règle ; mais,sinon ",則 
原则,yuan2ze2,nom,principe,原則 
规则,gui1ze2,nom,règles,規則 
否则,shou3ze2,conjonction ," sinon,sans quoi ",否則 
猜,cai1,verbe,deviner,猜 
缺,que1,verbe,manquer de ; défectueux ; être absent,缺 
缺少,que1shao3,verbe,manquer,缺少 
缺点,que1dian3,nom,défaut,缺点 
缺口,que1kou3,nom,brèche,缺口 
缺课,que1ke4,verbe,manquer un cours,缺课 
善,shan4,qualificatif ; verbe,bienveillant ; être bon à faire qqch. ; être enclin à,善 
善良,shan4liang2,qualificatif ," bon,bienveillant ",善良 
改善,gai3shan4,verbe,améliorer,改善 
善于,shan4yu2,verbe,être bon à faire qqch.,善于 
叹,tan4,verbe,soupirer,嘆 
叹气,tan4qi4,verbe,soupirer,嘆氣 
感叹,gan3tan4,verbe,pousser des exclamations,感嘆 
折,zhe2,verbe,casser ; plier ; faire une réduction,折 
折断,zhe2duan4,verbe,briser,折斷 
折纸,zhe2zhi3,nom,origami,折紙 
打折,da3zhe2,verbe,faire une réduction,打折 
距,ju4,nom,distance,距 
距离,ju4li4,nom,distance,距离 
差距,cha4ju4,nom ," distance,écart ",差距 
嫌,xian2,verbe ," détester,se plaindre de ",嫌 
嫌弃,xian2qi4,verbe,avoir de l'aversion pour,嫌弃 
攒,zan3,verbe ," mettre de côté,épargner ",攒 
攒钱,zan3qian2,verbe,économiser de l'argent,攒钱 
积攒,ji1zan3,verbe,mettre de côté,积攒 
腿,tui3,nom ," jambe,patte,pied ",腿 
大腿,da4tui3,nom,cuisse,大腿 
腿脚,tui3jiao3,nom,jambes,腿脚 
捡,jian3,verbe,ramasser,撿 
捡拾,jian3shi2,verbe,ramasser,撿拾 
捡垃圾,jian3la4ji4,verbe,ramasser les poubelles,撿垃圾 
贝,bei4,nom ," coquillage,coquille ",貝 
贝壳,bei4ke2,nom,coquilles,貝殼 
宝贝,bao3bei4,nom ," trésor,chéri(e) ",寶貝 
牵,qian1,verbe ," mener,conduire ; compromettre,mettre en cause ; s'inquiéter ",牽 
牵手,qian1shou3,verbe,tenir à la main,牽手 
牵连,qian1lian2,verbe ," compromettre,impliquer ",牽連 
牵累,qian1lei4,verbe ," causer des soucis à qqn,impliquer ",牽累 
暗,an4,adjectif ," sombre,obscur ; dissimulé,caché ; en cachette ",暗 
黑暗,hei1an4,adjectif ," sombre,obscur ",黑暗 
暗示,an4shi4,verbe ," suggérer,laisser deviner ",暗示 
暗恋,an4lian4,verbe,aimer secrètement,暗恋 
德,de2,nom,morale,德 
道德,dao4de2,nom,morale,道德 
美德,mei3de2,nom,vertu,美德 
品德,pin3de2,nom,moralité,品德 
德国,de2guo2,nom propre,Allemagne,德国 
类,lei4,nom ," sorte,espèce,genre ",類 
类型,lei4xing2,nom ," type,genre ",類型 
类别,lei4bie2,nom ," catégorie,classe ",類別 
分类,fen1lei4,verbe,classer,分類 
产,chan3,verbe,donner naissance à ; produire ; produit,產 
产妇,chan3fu2,verbe,femme enceinte,產婦 
生产,sheng1chan3,verbe,produire,生產 
产品,chan4pin4,nom,produit,產品 
产量,chan3liang4,nom,production,產量 
追,zhui1,verbe ," poursuivre,pourchasser ; rechercher ",追 
追求,zhui1qiu2,verbe ," rechercher,aspirer à ",追求 
追问,zhui1wen2,verbe,presser qqn de question,追问 
赚,zhuan4,verbe,gagner,賺 
赚钱,zhuan4qian2,verbe,gagner de l'argent,賺錢 
赚头,zhuan4tou2,nom ," profit,bénéfice ",賺頭 
误,wu4,nom,erreur ; faux,誤 
错误,cuo4wu4,nom,erreur,錯誤 
误解,wu4jie2,verbe ; nom ," se méprendre,malentendu ",誤解 
误会,wu4hui4,verbe ; nom ," se méprendre,malentendu ",誤會 
责,ze2,nom ; verbe,responsabilité ; blâmer,責 
责任,ze2ren4,nom,responsabilité,責任 
负责,fu4ze2,verbe,être responsable,負責 
责怪,ze2guai4,verbe,blâmer,責怪 
责备,ze2bei4,verbe ," blâmer,reprocher ",責備 
保护,bao3hu4,verbe,protéger,保護 
爱护,ai4hu4,verbe ," veiller sur,prendre soin de ",愛護 
护送,hu4song4,verbe,escorter,護送 
护士,hu4shi,nom,infirmier(ère),護士 
护照,hu4zhao4,nom,passeport,護照 
忧,you1,verbe ; nom,s'inquiéter ; souci,憂 
担忧,dan4you1,verbe,s'inquiéter de,擔憂 
忧虑,you1lü4,verbe,se soucier de,憂慮 
无忧无虑,wu2you1wu2lü4,verbe,être libre de tout souci,無憂無慮 
吃饱穿暖,chi1bao3chuan1nuan3,expression,avoir de quoi s'habiller et se nourrir,吃飽穿暖 
供,gong1,verbe ," fournir,pourvoir,subvenir ",供 
一分钱掰成两半花,yi4 fen1 qian2 bai1cheng2 liang3 ban4 hua1,expression,être économe,一分錢辦成兩半花 
"尽管...,但是... "," jin3guan3...,dan4shi4... ",conjonction ," malgré,bien que "," 儘管...,但是... "
相反,xiang1fan3,adjectif ; conjonction ," contraire,au contraire ",相反 
强烈,qiang2lie4,adjectif ," puissant,fort,violent ",強烈 
孝顺,xiao4shun4,verbe ," respecter ses parents,être respectueux envers ses parents ",孝順 
基本上,ji1ben3shang4,adverbe ," pour l'essentiel,pratiquement ",基本上 
出行,chu1xing2,verbe,partir en voyage,出行 
高峰期,gao1feng1qi1,nom,période d'affluence,高峰期 
期间,qi1jian1,nom ," durée,période ",期間 
毕竟,bi4jing4,adverbe ," en fin de compte,après tout ",畢竟 
目的地,mu4di4di4,nom,destination,目的地 
请假,qing3jia4,verbe,demander un congé,請假 
果然,guo3ran2,adverbe,effectivement,果然 
花钱如流水,hua1qian2 ru2 liu2shui4,expression,être dépensier,花錢如流水 
必要,bi4yao4,adjectif ; nom ," nécessaire,indispensable ; nécessité ",必要 
猜,cai1,verbe,deviner,猜 
享受,xiang3shou4,verbe ," jouir de,profiter de ",享受 
独立,du2li4,verbe,prendre son indépendance,獨立 
如何,ru2he2,adverbe,comment,如何 
温饱,wen1bao3,nom,vêtu chaudement et bien nourri,溫飽 
廉价,lian2jia4,adjectif,à bas prix,廉價 
重视,zhong4shi4,verbe,accorder de l'importance à,重視 
肯,ken3,verbe,accepter de,肯 
吵//嘴,chao3//zui3,verbe,se disputer,吵//嘴 
新款,xin1kuan3,nom,nouveau modèle,新款 
功能,gong1neng2,nom,fonction,功能 
一定,yi2ding4,adjectif,un(e) certain(e),一定 
分期付//款,fen1qi1 fu4//kuan3,verbe,payer à crédit,分期付//款 
绝不,jue2bu4,adverbe ," absolument pas,aucunement ",絕不 
轻易,qing1yi4,adverbe,à la légère,轻易 
纪念,ji4nian4,verbe ," commémorer,souvenir ",紀念 
紧,jin3,qualificatif,ferme,緊 
自拍,zi4pai1,verbe ," se prendre en photo soi-même,selfie ",自拍 
时刻,shi2ke4,nom,moment,時刻 
分为,fen1wei2,verbe ," diviser en,distinguer ",分為 
打个比方,da3 ge bi3fang,expression,par exemple,打个比方 
奢侈品,she1chi3pin3,nom,produit de luxe,奢侈品 
简化,jian3hua4,verbe,simplifier,簡化 
签证,qian1zheng4,nom,visa,签证 
手续,shou3xu4,nom,formalité,手續 
欲望,yu4wang4,nom ," désir,envie ",慾望 
视为,shi4wei2,verbe,considérer comme,视为 
从...角度 讲/看,cong2...jiao3du4 jiang3/kan4,expression,du point de vue de...,從...角度 講/看 
服务业,fu2wu4ye4,nom,secteur tertiaire,服務業 
需求,xu1qiu2,nom,besoin,需求 
浪费 ,lang4fei4,verbe,gaspiller,浪费 
大量,da4liang4,adjectif,grande quantité,大量 
一次性,yi1ci4xing4,adjectif,jetable,一次性 
过时,guo4shi2,qualificatif ," démodé,désuet,dépassé ",過時 
节约,jie2yue1,verbe,économiser,節約 
过度,guo4du4,adjectif ," trop,excessif ",過度 
合理,he2li3,qualificatif ," rationnel,raisonnable,judicieux ",合理 
后顾之忧,hou4gu4zhi1you1,expression,souci des conséquences ultérieures,後顧之憂 
